scientificName,decimalLatitude,decimalLongitude
Mahonia bealei (Fortune) Carri¨¨re,29.57,118.87
Berberis bealei Fortune,32.059284,118.828681
Berberis bealei Fortune,32.05883,118.828532
Berberis fortunei Lindl.,32.078916,118.809295
Mahonia bealei (Fortune) Carri¨¨re,29.13,118.41
Mahonia bealei (Fortune) Carri¨¨re,29.78,118.18
Mahonia fortunei (Lindl.) Fedde,24.47,118.08
Mahonia bealei (Fortune) Carri¨¨re,29.247988,117.862004
Mahonia bealei (Fortune) Carri¨¨re,29.24,117.86
Mahonia bealei (Fortune) Carri¨¨re,24.02,117.72
Mahonia bealei (Fortune) Carri¨¨re,26.72,117.47
Mahonia bealei (Fortune) Carri¨¨re,29.534772,117.373176
Mahonia bealei (Fortune) Carri¨¨re,29.53,117.37
Mahonia bealei (Fortune) Carri¨¨re,25.959029,117.359304
Mahonia bodinierii Gagnep.,25.885558,116.027126
Mahonia bodinierii Gagnep.,25.885558,116.027126
Mahonia bealei (Fortune) Carri¨¨re,29.61015,115.998105
Mahonia bealei (Fortune) Carri¨¨re,24.95,115.65
Mahonia bodinierii Gagnep.,25.136922,115.393921
Mahonia bodinierii Gagnep.,25.136922,115.393921
Mahonia bodinierii Gagnep.,25.13,115.39
Mahonia bodinierii Gagnep.,25.13,115.39
Mahonia bealei (Fortune) Carri¨¨re,28.7,115.38
Mahonia bodinierii Gagnep.,26.337942,115.363193
Mahonia bodinierii Gagnep.,26.337942,115.363193
Mahonia bodinierii Gagnep.,26.33,115.36
Mahonia bodinierii Gagnep.,26.33,115.36
Mahonia bealei (Fortune) Carri¨¨re,29.326488,114.963105
Mahonia bealei (Fortune) Carri¨¨re,29.326488,114.963104
Mahonia conferta Takeda,29.326488,114.963104
Mahonia fortunei (Lindl.) Fedde,27.04,114.9
Mahonia fortunei (Lindl.) Fedde,24.911106,114.789812
Mahonia bealei (Fortune) Carri¨¨re,28.385228,114.780982
Mahonia fortunei (Lindl.) Fedde,28.385228,114.780982
Mahonia conferta Takeda,28.385228,114.780982
Mahonia fortunei (Lindl.) Fedde,28.38,114.78
Mahonia bodinierii Gagnep.,27.392869,114.619889
Mahonia fortunei (Lindl.) Fedde,27.392869,114.619889
Mahonia bodinierii Gagnep.,27.392869,114.619889
