"Mahonia microphylla","Mahonia napaulensis","Mahonia bealei","Mahonia longibracteata","Mahonia decipiens","Mahonia japonica","Mahonia shenii","Mahonia cardiophylla","Mahonia bodinieri","Mahonia oiwakensis","Mahonia nitens","Mahonia bracteolata","Mahonia breviracema","Mahonia imbricata","Mahonia subimbricata","Mahonia sheridaniana","Mahonia philippinensis","Mahonia monyulensis","Mahonia polyodonta","Mahonia calamicaulis subsp. kingdon-wardiana","Mahonia gracilipes","Mahonia leptodonta","Mahonia duclouxiana","Mahonia taronensis","Mahonia paucijuga","Mahonia fordii","Mahonia hancockiana","Mahonia fortunei","Mahonia eurybracteata subsp. ganpinensis","Mahonia setosa","Mahonia nervosa","Mahonia retinervis","Mahonia conferta","Mahonia chochoco","Mahonia dictyota","Mahonia alpina","Mahonia volcania","Mahonia repens","Mahonia pumila","Mahonia gracilis","Mahonia lanceolata","Mahonia pallida","Mahonia hartwegii","Mahonia aquifolium","Mahonia pinnata","Mahonia moranensis"
0,1,4.4,1,1.1,4.2,1.3,1.5,2.4,2,2,2,1.6,2.3,2.5,2.5,2.1,3.1,2.1,2.3,1.3,0.6,0.7,1.5,1.5,1.1,1.2,1.2,1,1,1.9,1.2,1.9,0,3.2,3.37,1.2,1.9,4,2.7,2,0.3,0.3,2.7,4,4.1
0,3.1,9.6,2.6,1.7,8.7,1.7,2.2,2.7,2.8,2.6,2.7,2.4,2.9,2.9,3.7,2.7,2.2,4.2,4.2,3.1,1.1,1.6,1.9,1.8,1.7,2,1.5,1,0.9,2.5,1.2,2.7,0,4.7,2.79,1.2,1.2,4.2,3.7,2.2,0.5,0.4,3.9,5.9,3.4
0,2.5,10.4,2.4,1.2,9.8,1.2,2,3.4,3.5,3.1,3.3,2.8,3.1,3.1,3.6,3.3,4.2,3.2,4.2,4.1,1.3,1.3,1.4,1.5,1.5,2.7,1.8,1.2,1.2,3.1,1.3,4.1,0,4.1,3.53,1.1,2,5.2,4.3,1.4,1.1,1.1,5,7.9,3.7
0,2.1,8.9,1.9,1.1,8.3,1,1.8,3,3.1,2.8,2.9,2.6,2.9,2.9,3.3,3,3.7,2.5,3.5,3.5,1.2,1.2,1.2,1.4,1.4,2.3,1.5,1.1,1.1,2.5,1.2,3.5,0,3.5,3.28,1,1.7,4.5,3.9,1.2,1,0.9,4.4,7.1,3.3
0,2.4,7.7,1.9,1,7.2,1,1.1,2.1,2.1,2,2,2,2.1,2.1,2.3,2.1,2,3.2,3.2,2.1,0.8,0.9,1.3,1.3,1.3,1.4,0.5,0.4,0.5,1.1,0.8,1.9,0,3.9,2.01,0.8,0.8,3.6,2.7,1.6,0.2,0.2,3.3,4.5,3.2
0,2.4,7.6,1.8,0.9,7,0.9,1,2,2,2,2,2,2,2,2.1,2,1.9,3.1,3.1,2,0.8,0.9,1.3,1.3,1.3,1.3,0.4,0.3,0.5,0.9,0.8,1.8,0,3.8,1.93,0.8,0.8,3.5,2.6,0.7,0.6,0.1,3.2,4.3,3.1
0,1.9,8.1,1.7,1,7.5,0.8,1.7,2.7,2.7,2.6,2.5,2.4,2.9,2.9,3.2,2.8,3.4,2.2,3.2,1.7,1.1,1.1,1.2,1.3,1.3,1.4,1.3,1,1,2.2,1.1,3.2,0,3.2,3.15,1,1.5,4.1,3.6,1.1,0.9,0.8,4.1,6.7,3.1
0,1.5,6.7,1.2,0.8,6.1,0.6,1.5,2,1.6,1.6,2.3,2.1,2.8,2.8,2.1,1.8,2.8,1.7,1.9,1.4,0.3,0.5,1.1,1.1,0.9,1.2,0.9,0.6,0.6,1.6,1,2.6,0,2.6,2.92,1,1.3,3.5,1.8,1.5,0.2,0.2,3.6,5.9,2.8
0,1.4,6.5,1.1,0.7,2.2,0.6,1.2,2,1.6,1.6,1.6,1.4,1.7,2.1,2.1,1.8,2.8,1.8,1.9,0.9,0.3,0.5,1,1,0.9,0.9,0.9,0.6,0.6,1.2,1,1.2,0,3,2.05,1,1.2,3.5,1.7,1.5,0.2,0.2,1.7,3.5,3.7
0,1.2,5.6,0.8,0.5,1.4,0.4,1.1,1.8,1.4,1.4,1.4,1.4,1.5,1.9,1.9,1.7,2.7,1.7,1.7,0.7,0.2,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0.4,1,0.9,1,0,2.9,1.51,0.9,1,3.2,1.4,1.2,0.1,0.1,1.4,3.2,3.5
