scientificName,decimalLongitude,decimalLatitude
Mahonia cardiophylla Ying et Boufford,107.583826,28.733687
Mahonia eurybracteata Fedde,107.583825,28.733686
Mahonia bealei (Fort.) Carr.,107.583825,28.733686
Mahonia fortunei (Lindl.) Fedde,113.56001,28.727584
Mahonia bealei (Fort.) Carr.,113.56001,28.727584
Mahonia fortunei (Lindl.) Fedde,106.352831,28.716667
Mahonia fortunei (Lindl.) Fedde,105.077616,28.714152
Mahonia fortunei (Lindl.) Fedde,115.847912,28.700355
Mahonia polyodonta Fedde,107.6166667,28.67777778
Mahonia fortunei (Lindl.) Fedde,105.623868,28.675365
Mahonia eurybracteata Fedde,105.623868,28.675365
Mahonia gracilipes (Oliv.) Fedde,105.623868,28.675365
Mahonia bealei (Fort.) Carr.,105.623868,28.675365
Mahonia eurybracteata (Hemsl.) Esser,110.3227778,28.67277778
Mahonia calamicaulis subsp. kingdon-wardiana (Ahrendt) Ying et Boufford.,97.4669158,28.6612758
Mahonia bealei (Fortune) Carrière,115.384701,28.657269
Mahonia fortunei (Nees) Kuntze,109.4003,28.6561
Mahonia eurybracteata Fedde,109.4003,28.6561
Mahonia bealei (Fort.) Carr.,109.4003,28.6561
Mahonia bealei (Fort.) Carr.,102.497225,28.63543
Mahonia bealei (Fort.) Carr.,102.506423,28.627821
Mahonia bealei (Fort.) Carr.,104.40289,28.62165
Mahonia fortunei (Lindl.) Fedde,106.331898,28.619725
Mahonia eurybracteata (Hemsl.) Esser,109.905766,28.61319
Mahonia fortunei (Lindl.) Fedde,106.321953,28.612389
Mahonia fortunei (Lindl.) Fedde,118.2621417,28.60694722
Mahonia bealei (Fort.) Carr.,118.2621417,28.60694722
Mahonia fortunei (Lindl.) Fedde.,107.521584,28.596639
Mahonia bealei (Fortune) Carrière,119.277257,28.587546
Mahonia fortunei (Lindl.) Fedde,104.945385,28.587373
Mahonia fortunei (Lindl.) Fedde,105.9783333,28.58416667
Mahonia bealei (Fort.) Carr.,115.16,28.58
Mahonia eurybracteata Fedde,109.5034,28.5761
Mahonia fortunei (Lindl.) Fedde.,108.460464,28.568325
Mahonia gracilipes (Oliv.) Fedde.,107.937075,28.542933
Mahonia cardiophylla Ying et Boufford,107.937075,28.542933
Mahonia bealei (Fort.) Carr.,107.937075,28.542933
Mahonia fortunei Hort. ex Dippel,114.37098,28.5207497
Mahonia bealei (Fortune) Carrière,119.924397,28.485724
Mahonia fortunei (Lindl.) Fedde,109.869,28.4814
Mahonia eurybracteata Fedde,109.869,28.4814
Mahonia fortunei (Lindl.) Fedde,105.774979,28.4777
Mahonia eurybracteata Fedde,105.774979,28.4777
Mahonia gracilipes (Oliv.) Fedde,105.774979,28.4777
Mahonia bealei (Fortune) Carrière,105.774979,28.4777
Mahonia bealei (Fort.) Carr.,110.334887,28.463846
Mahonia fortunei (Lindl.) Fedde,117.946588,28.453766
Mahonia fortunei (Lindl.) Fedde,104.704649,28.438984
Mahonia fortunei (Lindl.) Fedde,104.510615,28.426501
Mahonia bealei (Fort.) Carr.,118.179025,28.425589
Mahonia taronensis Hand.-Mazz.,92.470689,28.423932
Mahonia conferta Takeda,114.780982,28.3852275
Mahonia fortunei Hort. ex Dippel,114.780982,28.3852275
Mahonia bealei (Fort.) Carr.,114.780982,28.3852275
Mahonia fortunei (Lindl.) Fedde,106.25,28.38
Mahonia bealei (Fortune) Carrière,111.181549,28.354372
Mahonia fortunei (Lindl.) Fedde,117.718724,28.340072
