scientificName,decimalLatitude,decimalLongitude
Berberis gracilis Hartw. ex Benth.,21.386333,-99.108333
Berberis gracilis Hartw. ex Benth.,21.391667,-99.108333
Berberis gracilis Hartw. ex Benth.,21.452556,-99.130389
Berberis gracilis var. madrensis Marroq.,21.453994,-99.150291
Berberis gracilis var. madrensis Marroq.,21.86239392,-99.53455689
Berberis gracilis var. madrensis Marroq.,21.906667,-99.6425
Mahonia gracilis (Hartw. ex Benth.) Fedde,22,-100
Berberis gracilis Hartw. ex Benth.,22.047222,-101.234167
Mahonia gracilis (Hartw. ex Benth.) Fedde,22.15,-100.98
Berberis gracilis var. madrensis Marroq.,22.182222,-100.772778
Berberis gracilis var. madrensis Marroq.,22.61836699,-97.94853572
Berberis gracilis var. madrensis Marroq.,23.009722,-99.214722
Berberis gracilis Hartw. ex Benth.,23.041667,-99.275
Berberis gracilis Hartw. ex Benth.,23.042383,-99.267222
Berberis gracilis var. madrensis Marroq.,23.052778,-99.151111
Berberis gracilis Hartw. ex Benth.,23.067,-99.233
Berberis gracilis Hartw. ex Benth.,23.075,-99.241667
Berberis gracilis var. madrensis Marroq.,23.083889,-99.184167
Berberis gracilis var. madrensis Marroq.,23.098889,-99.191111
Berberis gracilis var. madrensis Marroq.,23.10026926,-99.19223443
Berberis gracilis var. madrensis Marroq.,23.1075,-99.226111
Berberis gracilis var. madrensis Marroq.,23.15758688,-99.17258718
Berberis gracilis Hartw. ex Benth.,23.158333,-99.225
Berberis gracilis var. madrensis Marroq.,23.31972,-99.29806
Berberis gracilis var. madrensis Marroq.,23.319722,-99.298056
Berberis gracilis Hartw. ex Benth.,23.45,-99.26
Berberis gracilis var. madrensis Marroq.,23.667,-99.783
Berberis gracilis var. madrensis Marroq.,23.673333,-100.181667
Berberis gracilis var. madrensis Marroq.,23.68333,-99.78333
Berberis gracilis var. madrensis Marroq.,23.683333,-99.783333
Mahonia gracilis (Hartw. ex Benth.) Fedde,23.7,-99.75
Berberis gracilis var. madrensis Marroq.,23.799167,-99.870833
Berberis gracilis Hartw. ex Benth.,23.8175,-99.879167
Berberis gracilis Hartw. ex Benth.,23.82,-99.89
Berberis gracilis var. madrensis Marroq.,24.1825,-99.903056
Berberis gracilis var. madrensis Marroq.,24.575,-99.971667
Mahonia gracilis (Hartw. ex Benth.) Fedde,24.59,-99.99
Berberis gracilis Hartw. ex Benth.,24.591667,-99.991667
Berberis gracilis var. madrensis Marroq.,24.594719,-99.993889
Mahonia gracilis (Hartw. ex Benth.) Fedde,24.664722,-98.636944
Berberis gracilis var. madrensis Marroq.,24.686094,-100.136206
Mahonia gracilis (Hartw. ex Benth.) Fedde,24.7,-99.9
Berberis gracilis Hartw. ex Benth.,24.709444,-99.942778
Berberis gracilis Hartw. ex Benth.,24.716667,-99.566667
Berberis gracilis var. madrensis Marroq.,24.725,-99.903333
Berberis gracilis var. madrensis Marroq.,24.726389,-99.915556
Berberis gracilis var. madrensis Marroq.,24.733,-99.917
Berberis gracilis var. madrensis Marroq.,24.73333,-99.91667
Berberis gracilis var. madrensis Marroq.,24.733333,-99.916667
Berberis gracilis var. madrensis Marroq.,24.733333,-99.816667
Berberis gracilis var. madrensis Marroq.,24.8,-99.867
Berberis gracilis var. madrensis Marroq.,24.823333,-100.075
Berberis gracilis Hartw. ex Benth.,24.85,-99.566667
Berberis gracilis var. madrensis Marroq.,24.851758,-100.092239
Berberis gracilis var. madrensis Marroq.,24.866667,-100.2
Berberis gracilis var. madrensis Marroq.,24.86667,-100.2
Berberis gracilis var. madrensis Marroq.,24.883,-100.167
Berberis gracilis Hartw. ex Benth.,24.888333,-100.178333
Berberis gracilis var. madrensis Marroq.,24.89167,-100.2
Berberis gracilis Hartw. ex Benth.,24.92,-99.78
Berberis gracilis Hartw. ex Benth.,24.93,-100.32
Berberis gracilis Hartw. ex Benth.,25.161111,-99.991389
Berberis gracilis var. madrensis Marroq.,25.174167,-100.123611
Berberis gracilis var. madrensis Marroq.,25.1833,-100.1167
Berberis gracilis var. madrensis Marroq.,25.18333,-100.11667
Berberis gracilis var. madrensis Marroq.,25.183333,-100.116667
Berberis gracilis Hartw. ex Benth.,25.2625,-100.161111
Berberis gracilis Hartw. ex Benth.,25.311389,-100.144167
Berberis gracilis var. madrensis Marroq.,25.316667,-100.433333
Berberis gracilis var. madrensis Marroq.,25.32028,-101.73333
Berberis gracilis var. madrensis Marroq.,25.371944,-100.22
Berberis gracilis var. madrensis Marroq.,25.383,-100.167
Berberis gracilis var. madrensis Marroq.,25.3896881,-100.2515154
Berberis gracilis var. madrensis Marroq.,25.396667,-100.1725
Berberis gracilis var. madrensis Marroq.,25.600556,-100.3225
Berberis gracilis var. madrensis Marroq.,25.600556,-100.293333
Berberis gracilis var. madrensis Marroq.,25.60112145,-100.322988
Berberis gracilis var. madrensis Marroq.,25.60112256,-100.2938833
Berberis gracilis Hartw. ex Benth.,25.656111,-100.368611
Mahonia gracilis (Hartw. ex Benth.) Fedde,25.67,-100.3
Berberis gracilis var. madrensis Marroq.,25.67179071,-100.308801
Berberis gracilis Hartw. ex Benth.,25.716667,-100.433333
Berberis gracilis var. madrensis Marroq.,25.731389,-100.372778
Berberis gracilis var. madrensis Marroq.,26.35,-100.46667
Berberis gracilis var. madrensis Marroq.,26.35,-100.466667
Berberis gracilis var. madrensis Marroq.,26.55,-100.55
Berberis gracilis var. madrensis Marroq.,27.083,-101.033
Berberis gracilis var. madrensis Marroq.,27.08333,-101.03333
Berberis gracilis var. madrensis Marroq.,27.083333,-101.033333
