Mahonia microphylla,Mahonia napaulensis,Mahonia bealei,Mahonia longibracteata,Mahonia decipiens,Mahonia japonica,Mahonia shenii,Mahonia cardiophylla,Mahonia bodinieri,Mahonia oiwakensis,Mahonia nitens,Mahonia bracteolata,Mahonia breviracema,Mahonia imbricata,Mahonia subimbricata,Mahonia sheridaniana,Mahonia philippinensis,Mahonia monyulensis,Mahonia polyodonta,Mahonia calamicaulis subsp. kingdon-wardiana,Mahonia gracilipes,Mahonia leptodonta,Mahonia duclouxiana,Mahonia taronensis,Mahonia paucijuga,Mahonia fordii,Mahonia hancockiana,Mahonia fortunei,Mahonia eurybracteata subsp. ganpinensis,Mahonia setosa,Mahonia nervosa,Mahonia retinervis,Mahonia conferta,Mahonia chochoco,Mahonia dictyota,Mahonia alpina,Mahonia volcania,Mahonia repens,Mahonia pumila,Mahonia gracilis,Mahonia lanceolata,Mahonia pallida,Mahonia hartwegii,Mahonia aquifolium,Mahonia pinnata,Mahonia moranensis
0,4,4,6,4,4,1,4,4,4,3,3,3,4,4,3,4,2,11,7,3,41,9,13,10,8,7,6,8,14,7,7,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,5,4,6,5,5,1,7,7,5,4,4,3,5,5,4,6,2,12,7,6,56,10,14,11,8,7,7,8,15,8,8,8,0,5,4,7,9,7,6,21,9,9,11,9,8
0,9,7,7,7,7,2,7,8,8,6,9,5,5,5,6,7,2,15,8,7,62,12,16,12,9,8,8,9,18,9,9,8,0,6,4,8,9,8,7,24,9,10,11,9,9
0,4,4,6,6,6,1,6,7,7,4,4,3,4,4,3,6,4,12,7,6,54,10,14,11,8,7,7,8,15,8,8,7,0,5,3,7,8,7,5,21,8,9,10,8,8
0,10,7,7,7,7,3,8,9,9,6,11,5,6,6,6,7,2,16,9,7,66,13,17,13,9,8,9,9,19,10,10,8,0,6,4,8,9,8,8,25,10,10,12,10,9
0,6,6,5,6,5,0,5,5,5,5,3,3,3,3,5,5,4,10,5,5,46,8,12,9,7,6,5,7,12,6,6,7,0,4,3,6,8,6,4,18,7,8,9,7,7
0,5,4,6,5,5,1,4,5,5,4,4,3,5,5,4,5,3,12,7,4,48,10,14,11,8,7,7,8,15,8,8,8,0,5,4,7,9,7,6,21,9,9,11,9,8
0,4,4,4,4,4,1,4,4,4,4,4,3,4,4,3,4,2,11,7,3,44,9,13,11,8,7,7,8,14,8,8,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,9,7,6,7,6,2,7,8,8,6,9,4,5,5,4,6,2,14,8,6,60,11,15,12,8,7,8,8,17,9,9,8,0,5,4,7,9,7,7,23,9,9,11,9,8
0,5,4,5,5,5,1,4,5,5,5,5,3,5,6,4,5,4,13,8,5,56,9,17,12,8,7,7,8,18,11,9,8,0,5,4,6,7,7,8,27,12,12,15,10,10
0,3,2,4,4,2,0,2,2,2,2,3,2,2,1,1,2,2,10,6,5,39,6,11,8,7,6,6,6,16,8,9,6,0,7,3,5,6,6,7,22,11,9,13,8,8
0,5,5,7,5,5,2,8,9,6,6,6,4,5,7,5,7,5,14,9,7,64,12,16,13,9,8,9,9,18,10,10,8,0,6,4,8,9,8,8,24,10,10,12,10,9
0,5,5,7,5,5,2,8,9,9,6,6,4,5,7,5,7,2,16,9,7,65,13,17,13,9,8,9,9,19,10,10,8,0,6,4,8,9,8,8,25,10,10,12,10,9
0,4,3,5,5,5,1,4,5,5,4,4,3,5,5,2,3,5,12,8,6,50,9,15,11,8,7,7,7,17,10,10,7,0,8,4,6,7,7,8,26,12,11,14,9,9
0,4,3,4,4,4,1,4,4,4,4,5,3,3,2,2,3,2,14,9,6,63,12,22,16,6,6,11,6,19,7,7,6,0,5,4,9,9,6,7,26,12,12,15,12,9
